Date,PG,MSFT,F,GE
1995-07-12,7.4089274406433105,4.0050201416015625,5.005764961242676,3.4778637886047363
1995-07-13,7.369232177734375,4.015047073364258,4.967405796051025,3.4411020278930664
1995-07-14,7.356006145477295,4.155395984649658,4.9098687171936035,3.419041633605957
1995-07-17,7.356006145477295,4.37093448638916,4.9098687171936035,3.4999237060546875
1995-07-18,7.356006145477295,4.085218906402588,4.756434440612793,3.470510721206665
1995-07-19,7.448090076446533,3.7894794940948486,4.622180938720703,3.419041633605957
1995-07-20,7.25850248336792,3.8546435832977295,4.4495673179626465,3.4925694465637207
1995-07-21,7.244960784912109,3.6892313957214355,4.430388927459717,3.5219805240631104
1995-07-24,7.285589218139648,3.754392623901367,4.411210536956787,3.507274866104126
1995-07-25,7.3668389320373535,3.8646676540374756,4.583821773529053,3.507274866104126
1995-07-26,7.556426525115967,3.8496315479278564,4.526285171508789,3.4852168560028076
1995-07-27,7.597054958343506,3.869680881500244,4.564643383026123,3.4852168560028076
1995-07-28,7.556426525115967,3.7142930030822754,4.4879255294799805,3.455805540084839
1995-07-31,7.461633205413818,3.629077911376953,4.497233867645264,3.470510721206665
1995-08-01,7.448090076446533,3.5889790058135986,4.439079761505127,3.448453664779663
1995-08-02,7.5293450355529785,3.5689284801483154,4.4584641456604,3.3749258518218994
1995-08-03,7.407466411590576,3.6541407108306885,4.419693946838379,3.3749258518218994
1995-08-04,7.542882442474365,3.7644176483154297,4.4584641456604,3.3896305561065674
1995-08-07,7.515800476074219,3.754392623901367,4.497233867645264,3.455805540084839
1995-08-08,7.475177764892578,3.7493793964385986,4.497233867645264,3.470510721206665
1995-08-09,7.407466411590576,3.869680881500244,4.419693946838379,3.448453664779663
1995-08-10,7.434545993804932,3.7744429111480713,4.400310516357422,3.4116876125335693
1995-08-11,7.448090076446533,3.869680881500244,4.342155933380127,3.3969807624816895
1995-08-14,7.461633205413818,3.959906578063965,4.477850437164307,3.448453664779663
1995-08-15,7.407466411590576,3.9448695182800293,4.439079761505127,3.448453664779663
1995-08-16,7.285589218139648,3.959906578063965,4.419693946838379,3.426395893096924
1995-08-17,7.25850248336792,3.974944591522217,4.380924701690674,3.3896305561065674
1995-08-18,7.272044658660889,3.8947434425354004,4.380924701690674,3.3675732612609863
1995-08-21,7.25850248336792,3.7894794940948486,4.400310516357422,3.382277727127075
1995-08-22,7.285589218139648,3.982461929321289,4.400310516357422,3.382277727127075
1995-08-23,7.32621431350708,3.9248178005218506,4.477850437164307,3.3675732612609863
1995-08-24,7.393920421600342,3.8546435832977295,4.516617298126221,3.3969807624816895
1995-08-25,7.461633205413818,3.7844669818878174,4.4584641456604,3.433746576309204
1995-08-28,7.502258777618408,3.61153507232666,4.516617298126221,3.455805540084839
1995-08-29,7.5293450355529785,3.6842174530029297,4.691080093383789,3.463157892227173
1995-08-30,7.5293450355529785,3.7393558025360107,4.710463523864746,3.470510721206665
1995-08-31,7.515800476074219,3.709280014038086,4.768618106842041,3.463157892227173
1995-09-01,7.515800476074219,3.5990049839019775,4.846156597137451,3.455805540084839
