Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-03-02,700.8200073242188,1322.8499755859375,3710.070068359375,3625.800048828125
2009-03-03,696.3300170898438,1321.010009765625,3690.719970703125,3512.10009765625
2009-03-04,712.8699951171875,1353.739990234375,3890.93994140625,3645.89990234375
2009-03-05,682.5499877929688,1299.5899658203125,3695.489990234375,3529.89990234375
2009-03-06,683.3800048828125,1293.8499755859375,3666.409912109375,3530.699951171875
2009-03-09,676.530029296875,1268.6400146484375,3692.030029296875,3542.39990234375
2009-03-10,719.5999755859375,1358.280029296875,3886.97998046875,3715.199951171875
2009-03-11,721.3599853515625,1371.6400146484375,3914.10009765625,3693.800048828125
2009-03-12,750.739990234375,1426.0999755859375,3956.219970703125,3712.10009765625
2009-03-13,756.5499877929688,1431.5,3953.60009765625,3753.699951171875
2009-03-16,753.8900146484375,1404.02001953125,4044.5400390625,3864.0
2009-03-17,778.1199951171875,1462.1099853515625,3987.77001953125,3857.10009765625
2009-03-18,794.3499755859375,1491.219970703125,3996.320068359375,3805.0
2009-03-19,784.0399780273438,1483.47998046875,4043.4599609375,3816.89990234375
2009-03-20,768.5399780273438,1457.27001953125,4068.739990234375,3842.89990234375
2009-03-23,822.9199829101562,1555.77001953125,4176.3701171875,3952.800048828125
2009-03-24,806.1199951171875,1516.52001953125,4187.35986328125,3911.5
2009-03-25,813.8800048828125,1528.949951171875,4223.2900390625,3900.300048828125
2009-03-26,832.8599853515625,1587.0,4259.3701171875,3925.199951171875
2009-03-27,815.9400024414062,1545.199951171875,4203.5498046875,3898.89990234375
2009-03-30,787.530029296875,1501.800048828125,3989.22998046875,3762.89990234375
2009-03-31,797.8699951171875,1528.5899658203125,4084.760009765625,3926.10009765625
2009-04-01,811.0800170898438,1551.5999755859375,4131.06982421875,3955.60009765625
2009-04-02,834.3800048828125,1602.6300048828125,4381.919921875,4125.0
2009-04-03,842.5,1621.8699951171875,4384.990234375,4029.699951171875
2009-04-06,835.47998046875,1606.7099609375,4349.81005859375,3993.5
2009-04-07,815.5499877929688,1561.6099853515625,4322.5,3930.5
2009-04-08,825.1599731445312,1590.6600341796875,4357.919921875,3925.5
2009-04-09,856.5599975585938,1652.5400390625,4491.1201171875,3983.699951171875
2009-04-13,858.72998046875,1653.31005859375,,
2009-04-14,841.5,1625.719970703125,4557.009765625,3989.0
2009-04-15,852.0599975585938,1626.800048828125,4549.7900390625,3968.39990234375
2009-04-16,865.2999877929688,1670.43994140625,4609.4599609375,4053.0
2009-04-17,869.5999755859375,1673.0699462890625,4676.83984375,4092.800048828125
2009-04-20,832.3900146484375,1608.2099609375,4486.2998046875,3990.89990234375
2009-04-21,850.0800170898438,1643.8499755859375,4501.6298828125,3987.5
2009-04-22,843.5499877929688,1646.1199951171875,4594.419921875,4030.699951171875
2009-04-23,851.9199829101562,1652.2099609375,4538.2099609375,4018.199951171875
2009-04-24,866.22998046875,1694.2900390625,4674.31982421875,4156.0
2009-04-27,857.510009765625,1679.4100341796875,4694.06982421875,4167.0
2009-04-28,855.1599731445312,1673.81005859375,4607.419921875,4096.39990234375
2009-04-29,873.6400146484375,1711.93994140625,4704.56005859375,4189.60009765625
2009-04-30,872.8099975585938,1717.300048828125,4769.4501953125,4243.7001953125
2009-05-01,877.52001953125,1719.199951171875,,4243.2001953125
2009-05-04,907.239990234375,1763.56005859375,4902.4501953125,
