Date,PG,TSLA
2016-11-16,74.8421401977539,183.92999267578125
2016-11-17,74.73416137695312,188.66000366210938
2016-11-18,73.77155303955078,185.02000427246094
2016-11-21,74.34730529785156,184.52000427246094
2016-11-22,74.4552993774414,191.1699981689453
2016-11-23,74.38330841064453,193.13999938964844
2016-11-25,75.08504486083984,196.64999389648438
2016-11-28,74.73416137695312,196.1199951171875
2016-11-29,74.57221984863281,189.57000732421875
2016-11-30,74.18537139892578,189.39999389648438
2016-12-01,73.6456069946289,181.8800048828125
2016-12-02,74.13139343261719,181.47000122070312
2016-12-05,74.66219329833984,186.8000030517578
2016-12-06,74.59024047851562,185.85000610351562
2016-12-07,75.73278045654297,193.14999389648438
2016-12-08,75.12100982666016,192.2899932861328
2016-12-09,75.90371704101562,192.17999267578125
2016-12-12,76.58745574951172,192.42999267578125
2016-12-13,76.6324462890625,198.14999389648438
2016-12-14,75.90371704101562,198.69000244140625
2016-12-15,76.18260192871094,197.5800018310547
2016-12-16,76.18260192871094,202.49000549316406
2016-12-19,76.20960235595703,202.72999572753906
2016-12-20,76.08364868164062,208.7899932861328
2016-12-21,75.82273864746094,207.6999969482422
2016-12-22,75.99369049072266,208.4499969482422
2016-12-23,76.43451690673828,213.33999633789062
2016-12-27,76.11062622070312,219.52999877929688
2016-12-28,75.63381958007812,219.74000549316406
2016-12-29,75.88572692871094,214.67999267578125
2016-12-30,75.64281463623047,213.69000244140625
2017-01-03,75.75079345703125,216.99000549316406
2017-01-04,76.02067565917969,226.99000549316406
2017-01-05,76.52446746826172,226.75
2017-01-06,76.49748229980469,229.00999450683594
2017-01-09,75.93070983886719,231.27999877929688
2017-01-10,75.11202239990234,229.8699951171875
2017-01-11,75.3459243774414,229.72999572753906
2017-01-12,75.4269027709961,229.58999633789062
2017-01-13,75.5798568725586,237.75
2017-01-17,76.65941619873047,235.5800018310547
2017-01-18,77.01307678222656,238.36000061035156
2017-01-19,76.80450439453125,243.75999450683594
2017-01-20,79.29817199707031,244.72999572753906
2017-01-23,78.85383605957031,248.9199981689453
2017-01-24,79.6699447631836,254.61000061035156
2017-01-25,79.03520965576172,254.47000122070312
2017-01-26,78.52740478515625,252.50999450683594
2017-01-27,78.63621520996094,252.9499969482422
2017-01-30,78.66342163085938,250.6300048828125
2017-01-31,79.4341812133789,251.92999267578125
2017-02-01,79.18936157226562,249.24000549316406
2017-02-02,79.57927703857422,251.5500030517578
2017-02-03,79.26190185546875,251.3300018310547
2017-02-06,79.25282287597656,257.7699890136719
2017-02-07,79.80596923828125,257.4800109863281
2017-02-08,80.09614562988281,262.0799865722656
2017-02-09,80.4044418334961,269.20001220703125
2017-02-10,79.76969146728516,269.2300109863281
2017-02-13,80.07801055908203,280.6000061035156
2017-02-14,79.6699447631836,280.9800109863281
2017-02-15,82.62606048583984,279.760009765625
2017-02-16,82.32681274414062,268.95001220703125
2017-02-17,82.5988540649414,272.2300109863281
2017-02-21,83.12478637695312,277.3900146484375
2017-02-22,82.91622924804688,273.510009765625
2017-02-23,82.63512420654297,255.99000549316406
2017-02-24,82.5625991821289,257.0
2017-02-27,82.41748809814453,246.22999572753906
2017-02-28,82.58071899414062,249.99000549316406
2017-03-01,83.11572265625,250.02000427246094
2017-03-02,82.43563079833984,250.47999572753906
2017-03-03,82.06385803222656,251.57000732421875
2017-03-06,81.94596862792969,251.2100067138672
2017-03-07,81.87342834472656,248.58999633789062
2017-03-08,81.7374038696289,246.8699951171875
2017-03-09,81.91876220703125,244.89999389648438
2017-03-10,82.58071899414062,243.69000244140625
2017-03-13,82.79833221435547,246.1699981689453
2017-03-14,82.51724243164062,258.0
2017-03-15,82.87996673583984,255.72999572753906
2017-03-16,82.91622924804688,262.04998779296875
